Ativo;Cenario;Retorno_Anual_Medio;Volatilidade_Anual;Sharpe_Ratio
MMC;in_sample_1_1x;-3,236801489;35,18887003;-0,091983672
DHR;in_sample_1_1x;21,58834115;29,56567801;0,730182516
HAS;in_sample_1_1x;9,232229862;37,15414758;0,248484502
PFE;in_sample_1_1x;0,984930318;30,6089804;0,032177822
MMM;in_sample_1_1x;11,53477879;26,19274185;0,440380731
ED;in_sample_1_1x;8,183407794;21,55826371;0,379594939
ORCL;in_sample_1_1x;2,800242003;58,93000336;0,047518104
PNC;in_sample_1_1x;10,14090885;29,76761549;0,340669169
MU;in_sample_1_1x;1,101726508;67,91445659;0,016222268
MCO;in_sample_1_1x;34,44250725;26,10659681;1,319302838
FDX;in_sample_1_1x;18,848417;32,19043928;0,585528418
WY;in_sample_1_1x;4,081493636;32,44282898;0,125805725
CINF;in_sample_1_1x;11,08938041;26,07864495;0,425228398
AEE;in_sample_1_1x;11,72702443;19,94731798;0,587899809
TJX;in_sample_1_1x;22,34478102;36,4821227;0,61248577
SO;in_sample_1_1x;20,34632254;23,64837645;0,860368684
ITW;in_sample_1_1x;9,762291311;28,48978777;0,34265932
CSCO;in_sample_2_1x;3,683208361;34,54615397;0,106617031
MSFT;in_sample_2_1x;5,890551061;31,51996895;0,186883149
PHM;in_sample_2_1x;37,8704857;63,10883234;0,60008218
MAR;in_sample_2_1x;16,46800945;41,10572483;0,400625692
YUM;in_sample_2_1x;17,34250825;30,57146738;0,567277587
COST;in_sample_2_1x;14,64664939;25,21314651;0,580913191
HSY;in_sample_2_1x;22,56624503;23,71700529;0,951479529
K;in_sample_2_1x;6,372474157;19,61098578;0,324944102
HES;in_sample_2_1x;11,59720362;49,37590359;0,234875775
BSX;in_sample_2_1x;9,501467723;42,43129118;0,223925963
CI;in_sample_2_1x;17,58330879;46,53868833;0,377821323
CVS;in_sample_2_1x;14,71946466;29,53301877;0,498407047
BA;in_sample_2_1x;15,49353127;33,40311761;0,463834887
GE;in_sample_2_1x;2,571422844;38,49748755;0,066794563
WM;in_sample_2_1x;9,03498277;25,38235182;0,355955304
ADBE;in_sample_2_1x;14,6445581;38,88847177;0,37657839
AAPL;in_sample_2_1x;29,98086152;35,88627325;0,835440931
HPQ;in_sample_2_1x;-3,891985157;37,38070814;-0,104117481
VMC;in_sample_2_1x;6,088377536;45,13808318;0,134883387
NEM;in_sample_2_1x;-2,131323523;44,59085653;-0,047797322
AEP;in_sample_2_1x;2,758704806;24,37968976;0,113155862
NEE;in_sample_2_1x;6,794104438;26,31845431;0,258149827
CMI;in_sample_2_1x;36,58741758;51,6189104;0,708798719
AFL;in_sample_2_1x;17,31111602;54,7038291;0,316451632
JNJ;in_sample_2_1x;7,231657685;18,05646343;0,400502441
AIG;in_sample_2_1x;-2,606632929;100,19429;-0,026015783
LLY;in_sample_2_1x;1,372840209;25,30697304;0,054247507
NOC;in_sample_2_1x;10,93118823;27,11081859;0,403203916
AES;in_sample_2_1x;4,911332813;47,15478007;0,104153445
BEN;in_sample_2_1x;20,56998782;44,48176164;0,462436447
BAC;in_sample_2_1x;11,01815011;74,32093095;0,14825097
CL;in_sample_2_1x;11,51814527;21,36124975;0,539207462
COF;in_sample_2_1x;33,61159708;63,30817338;0,530920342
MMC;in_sample_2_1x;15,5515179;29,68713423;0,523847057
DHR;in_sample_2_1x;15,1559424;27,85544619;0,544092609
HAS;in_sample_2_1x;22,13334221;31,24671062;0,708341511
PFE;in_sample_2_1x;8,290229725;26,03164957;0,318467322
MMM;in_sample_2_1x;12,31500713;25,652053;0,480078812
ED;in_sample_2_1x;5,636585405;18,37509351;0,306751386
ORCL;in_sample_2_1x;13,76038268;32,42952289;0,424316532
PNC;in_sample_2_1x;21,97710392;55,97191198;0,392645224
MU;in_sample_2_1x;48,51371417;65,06637798;0,745603423
MCO;in_sample_2_1x;25,77171318;47,34792038;0,544305071
FDX;in_sample_2_1x;15,49074309;35,65615868;0,434447895
WY;in_sample_2_1x;1,947439924;48,70967976;0,039980553
CINF;in_sample_2_1x;12,86573392;36,74250012;0,350159458
AEE;in_sample_2_1x;-2,298127111;26,19966842;-0,087715885
TJX;in_sample_2_1x;33,65364084;29,727402;1,132074739
SO;in_sample_2_1x;3,058953026;18,44555607;0,165836856
ITW;in_sample_2_1x;14,34119283;30,95292503;0,463322701
CSCO;in_sample_3_1x;21,80099563;21,68779318;1,005219639
MSFT;in_sample_3_1x;38,18724882;21,65721691;1,763257439
PHM;in_sample_3_1x;25,40282898;25,46723622;0,997470977
MAR;in_sample_3_1x;23,2674751;22,34581576;1,041245276
YUM;in_sample_3_1x;23,96147086;16,55496678;1,44738864
COST;in_sample_3_1x;24,50685067;19,35648998;1,266079268
HSY;in_sample_3_1x;18,10614603;20,14385145;0,898842313
K;in_sample_3_1x;-3,069601571;21,06089086;-0,145748895
HES;in_sample_3_1x;11,32807622;37,29286893;0,303759849
BSX;in_sample_3_1x;24,77739085;23,06445972;1,074267126
CI;in_sample_3_1x;8,093189696;25,40784371;0,318531151
CVS;in_sample_3_1x;-9,774342825;25,65628459;-0,380972654
BA;in_sample_3_1x;40,80551518;25,37729415;1,607953745
GE;in_sample_3_1x;-25,14108089;31,9343177;-0,787274716
WM;in_sample_3_1x;22,89490396;14,4630055;1,582997666
ADBE;in_sample_3_1x;43,82667158;26,91511072;1,628329604
AAPL;in_sample_3_1x;32,68607389;24,19200847;1,351110385
HPQ;in_sample_3_1x;17,88990053;27,03123119;0,66182337
VMC;in_sample_3_1x;14,13549103;27,66528421;0,510946893
NEM;in_sample_3_1x;8,87365497;30,98758203;0,286361645
AEP;in_sample_3_1x;13,13552538;15,02027878;0,874519413
NEE;in_sample_3_1x;22,17561319;15,35549256;1,444148607
CMI;in_sample_3_1x;13,36347639;23,31593885;0,573147685
AFL;in_sample_3_1x;14,6455238;15,82803722;0,925289952
JNJ;in_sample_3_1x;5,780438273;16,05681692;0,359999015
AIG;in_sample_3_1x;3,10711103;21,83690356;0,142287162
LLY;in_sample_3_1x;14,4912345;20,43693857;0,709070708
NOC;in_sample_3_1x;21,85474926;20,51105178;1,065510901
AES;in_sample_3_1x;14,18692616;23,70196684;0,598554806
BEN;in_sample_3_1x;-3,813691979;25,01375843;-0,152463773
BAC;in_sample_3_1x;27,61553489;24,65778274;1,119952073
CL;in_sample_3_1x;1,031098929;17,13815686;0,060163933
COF;in_sample_3_1x;11,16248854;24,07790105;0,463598904
MMC;in_sample_3_1x;16,50324371;15,72159139;1,049718397
DHR;in_sample_3_1x;23,61993435;17,79803193;1,327109337
HAS;in_sample_3_1x;14,87854369;27,47559257;0,541518573
PFE;in_sample_3_1x;4,896192606;17,51185999;0,279592951
MMM;in_sample_3_1x;2,126709439;19,76146091;0,107619039
ED;in_sample_3_1x;7,336129096;15,58167351;0,470817791
ORCL;in_sample_3_1x;11,13659882;20,90674412;0,53267973
PNC;in_sample_3_1x;17,14313142;20,75756939;0,825873738
MU;in_sample_3_1x;74,34516752;43,90514652;1,693313277
MCO;in_sample_3_1x;30,52099181;21,12630103;1,444691703
FDX;in_sample_3_1x;4,381351842;23,782842;0,184223225
WY;in_sample_3_1x;-1,73887141;22,29245771;-0,078002678
CINF;in_sample_3_1x;19,54988773;18,24059467;1,071779078
AEE;in_sample_3_1x;16,75532873;16,0535998;1,043711625
TJX;in_sample_3_1x;14,38315587;19,74051635;0,728610925
SO;in_sample_3_1x;7,054637507;15,52879138;0,454294049
ITW;in_sample_3_1x;15,25746033;20,24281363;0,753722314
CSCO;out_of_sample_val_1;41,23608039;26,93726038;1,530819386
MSFT;out_of_sample_val_1;10,94793222;19,75033164;0,554316374
PHM;out_of_sample_val_1;-7,262733637;37,12898018;-0,195608218
MAR;out_of_sample_val_1;45,01349412;21,00972249;2,14250779
YUM;out_of_sample_val_1;12,89122739;22,4473363;0,574287622
COST;out_of_sample_val_1;16,29532638;20,64429046;0,789338166
HSY;out_of_sample_val_1;-3,56614209;17,0709492;-0,208901219
K;out_of_sample_val_1;6,551613968;12,4034761;0,528207892
HES;out_of_sample_val_1;28,93070574;32,87162971;0,880111695
BSX;out_of_sample_val_1;-22,79275247;30,25819357;-0,753275387
CI;out_of_sample_val_1;27,01756662;29,61326074;0,912346899
CVS;out_of_sample_val_1;21,28487661;26,14647391;0,814062986
BA;out_of_sample_val_1;28,19165269;21,81552104;1,292275011
GE;out_of_sample_val_1;3,729799582;12,85393272;0,290167971
WM;out_of_sample_val_1;18,52936841;18,83383103;0,98383427
ADBE;out_of_sample_val_1;20,34399343;32,67992489;0,62252265
AAPL;out_of_sample_val_1;47,37952313;37,88223377;1,250705632
HPQ;out_of_sample_val_1;35,78976857;24,76202506;1,445349017
VMC;out_of_sample_val_1;58,60444294;29,79285162;1,967063901
NEM;out_of_sample_val_1;6,170540003;32,43214895;0,19025998
AEP;out_of_sample_val_1;18,75673284;14,45835817;1,297293414
NEE;out_of_sample_val_1;29,82723538;14,92116081;1,998988937
CMI;out_of_sample_val_1;52,96514444;26,93780181;1,96620143
AFL;out_of_sample_val_1;1,939391406;15,62097341;0,124153044
JNJ;out_of_sample_val_1;0,312670758;12,22644144;0,025573325
AIG;out_of_sample_val_1;5,51434422;13,31263371;0,41421888
LLY;out_of_sample_val_1;3,948249985;15,31368187;0,257824997
NOC;out_of_sample_val_1;27,85592251;14,18911492;1,963189577
AES;out_of_sample_val_1;28,81312816;23,82869072;1,209177982
BEN;out_of_sample_val_1;26,01301027;22,73303635;1,144282263
BAC;out_of_sample_val_1;13,15179754;12,86210185;1,0225232
CL;out_of_sample_val_1;21,73470807;13,85255736;1,56900329
COF;out_of_sample_val_1;4,795410085;22,64399106;0,211774067
MMC;out_of_sample_val_1;4,404344946;20,21201876;0,217907226
DHR;out_of_sample_val_1;31,39669203;17,69850762;1,773973982
HAS;out_of_sample_val_1;40,3678147;19,77149907;2,041717452
PFE;out_of_sample_val_1;16,54524656;21,57343155;0,766926973
MMM;out_of_sample_val_1;0,023655402;17,48206737;0,001353124
ED;out_of_sample_val_1;7,20542908;11,93955799;0,603492113
ORCL;out_of_sample_val_1;26,96931238;23,80211209;1,133063834
PNC;out_of_sample_val_1;19,59448196;15,82829829;1,237939897
MU;out_of_sample_val_1;0,425553379;34,12769645;0,012469443
MCO;out_of_sample_val_1;20,08597446;25,58456988;0,785081577
FDX;out_of_sample_val_1;22,05771991;22,38563021;0,98535175
WY;out_of_sample_val_1;29,02932891;20,81816093;1,394423312
CINF;out_of_sample_val_1;4,659584479;13,84859975;0,336466109
AEE;out_of_sample_val_1;2,099139837;12,58034258;0,166858718
TJX;out_of_sample_val_1;26,37623574;21,75254125;1,212558819
SO;out_of_sample_val_1;4,463411841;12,26171817;0,364011942
ITW;out_of_sample_val_1;20,42429792;19,30089563;1,058204671
CSCO;out_of_sample_val_2;9,448805178;31,36429024;0,301259971
MSFT;out_of_sample_val_2;56,13866688;31,42248145;1,786576498
PHM;out_of_sample_val_2;41,33552788;47,66572793;0,867195985
MAR;out_of_sample_val_2;17,94087714;46,59207818;0,385062823
YUM;out_of_sample_val_2;17,00933313;30,83097837;0,551696184
COST;out_of_sample_val_2;37,6739567;22,31746293;1,688093168
HSY;out_of_sample_val_2;23,83977565;26,39160796;0,903308949
K;out_of_sample_val_2;9,78319214;25,56931254;0,382614594
HES;out_of_sample_val_2;30,97663983;58,59788467;0,528630684
BSX;out_of_sample_val_2;10,83959957;33,02437742;0,328230247
CI;out_of_sample_val_2;18,32164851;40,35010669;0,454066916
CVS;out_of_sample_val_2;25,45833816;30,4264444;0,836717489
BA;out_of_sample_val_2;-8,54885283;60,31290619;-0,141741683
GE;out_of_sample_val_2;27,97941901;48,38377453;0,578281031
WM;out_of_sample_val_2;22,33897748;24,79646759;0,900893541
ADBE;out_of_sample_val_2;54,99366605;35,39342335;1,553782055
AAPL;out_of_sample_val_2;72,45890586;35,03029558;2,068464016
HPQ;out_of_sample_val_2;26,57901654;40,7280863;0,652596745
VMC;out_of_sample_val_2;26,22902346;37,77918469;0,694271824
NEM;out_of_sample_val_2;30,06994681;34,80341632;0,863994113
AEP;out_of_sample_val_2;6,02659863;26,9345703;0,223749574
NEE;out_of_sample_val_2;31,59732768;29,91950854;1,056077764
CMI;out_of_sample_val_2;23,35035141;32,96744162;0,708285213
AFL;out_of_sample_val_2;12,56193747;39,05362701;0,321658664
JNJ;out_of_sample_val_2;9,808024746;22,68661253;0,432326542
AIG;out_of_sample_val_2;24,2738282;48,72151726;0,498215769
LLY;out_of_sample_val_2;34,0723236;33,89877487;1,005119617
NOC;out_of_sample_val_2;13,97208251;29,69594559;0,470504718
AES;out_of_sample_val_2;24,0872819;41,76414234;0,576745518
BEN;out_of_sample_val_2;8,637397433;41,22821339;0,209502104
BAC;out_of_sample_val_2;24,40283915;41,32789438;0,590468968
CL;out_of_sample_val_2;9,186278689;23,53762586;0,390280598
COF;out_of_sample_val_2;47,44923717;50,13083438;0,946508028
MMC;out_of_sample_val_2;28,5407018;25,97689421;1,098695694
DHR;out_of_sample_val_2;51,00026533;26,62732872;1,915335401
HAS;out_of_sample_val_2;14,22375362;41,86696966;0,339736879
PFE;out_of_sample_val_2;8,443547346;27,01688497;0,31252853
MMM;out_of_sample_val_2;0,294269968;29,6338109;0,00993021
ED;out_of_sample_val_2;-0,85257824;28,36653398;-0,030055778
ORCL;out_of_sample_val_2;28,17379668;30,87109931;0,912626933
PNC;out_of_sample_val_2;27,09319726;40,60504563;0,667237208
MU;out_of_sample_val_2;46,94346645;48,47644008;0,968376935
MCO;out_of_sample_val_2;46,03841593;35,12990902;1,310519076
FDX;out_of_sample_val_2;25,7645606;40,55944522;0,635229611
WY;out_of_sample_val_2;29,7704923;47,60182811;0,625406491
CINF;out_of_sample_val_2;23,70960242;40,7168473;0,582304476
AEE;out_of_sample_val_2;12,22316652;29,84835304;0,40950891
TJX;out_of_sample_val_2;20,78286345;36,79275586;0,564862918
SO;out_of_sample_val_2;16,55618847;31,31886285;0,528633129
ITW;out_of_sample_val_2;23,95034275;30,95478998;0,773720085
CSCO;out_of_sample_final_1;9,568144422;40,58262276;0,235769494
MSFT;out_of_sample_final_1;-2,14849018;28,89566088;-0,074353384
PHM;out_of_sample_final_1;43,73736987;38,84558212;1,125929063
MAR;out_of_sample_final_1;14,0819953;27,05392306;0,520515833
YUM;out_of_sample_final_1;21,47499813;29,42595015;0,729797951
COST;out_of_sample_final_1;10,4449316;29,19523252;0,357761548
HSY;out_of_sample_final_1;17,65785545;22,46939131;0,785862652
K;out_of_sample_final_1;11,40219084;19,73284539;0,577828013
HES;out_of_sample_final_1;20,52201523;29,04352082;0,706595297
BSX;out_of_sample_final_1;32,4729662;34,58318616;0,938981332
CI;out_of_sample_final_1;13,16114276;38,44070727;0,342375146
CVS;out_of_sample_final_1;20,62892856;27,42328988;0,752241203
BA;out_of_sample_final_1;14,03955073;28,75124249;0,488311096
GE;out_of_sample_final_1;-1,181160358;27,20120986;-0,043423082
WM;out_of_sample_final_1;3,027048015;23,11474612;0,130957442
ADBE;out_of_sample_final_1;26,28055165;45,1301457;0,582328092
AAPL;out_of_sample_final_1;66,84224634;41,00233667;1,630205783
HPQ;out_of_sample_final_1;16,64650101;38,74763262;0,429613369
VMC;out_of_sample_final_1;14,61260629;25,88090092;0,564609645
NEM;out_of_sample_final_1;26,13963522;35,24877267;0,741575755
AEP;out_of_sample_final_1;0,883981698;34,83817395;0,025373939
NEE;out_of_sample_final_1;15,31619979;20,28461753;0,755064756
CMI;out_of_sample_final_1;26,52501324;36,96763579;0,71751987
AFL;out_of_sample_final_1;19,02598338;25,65315179;0,741662605
JNJ;out_of_sample_final_1;3,50470493;21,98150105;0,159438836
AIG;out_of_sample_final_1;-0,178307654;30,07132422;-0,005929491
LLY;out_of_sample_final_1;-7,694764246;27,43110007;-0,280512419
NOC;out_of_sample_final_1;3,447740117;23,98329269;0,143755912
AES;out_of_sample_final_1;82,36710658;82,57854625;0,997439533
BEN;out_of_sample_final_1;25,50186809;25,90855234;0,984303089
BAC;out_of_sample_final_1;10,40875218;20,61326844;0,504953992
CL;out_of_sample_final_1;0,855177731;21,65269502;0,03949521
COF;out_of_sample_final_1;22,31322464;47,80764642;0,466729202
MMC;out_of_sample_final_1;-11,6968763;31,87701691;-0,366937607
DHR;out_of_sample_final_1;13,844953;24,10882357;0,574269125
HAS;out_of_sample_final_1;11,22613113;26,99417108;0,415872416
PFE;out_of_sample_final_1;-13,04656602;27,61720054;-0,472407259
MMM;out_of_sample_final_1;8,899842742;20,99727316;0,423857073
ED;out_of_sample_final_1;4,003888055;18,99480012;0,210788638
ORCL;out_of_sample_final_1;7,042727612;41,62613556;0,169190042
PNC;out_of_sample_final_1;3,689919585;24,60882451;0,149942944
MU;out_of_sample_final_1;-16,15261594;51,81584029;-0,311731236
MCO;out_of_sample_final_1;34,79714006;22,86288494;1,521992529
FDX;out_of_sample_final_1;15,64675357;26,40319417;0,592608359
WY;out_of_sample_final_1;3,588151422;27,12560043;0,132279152
CINF;out_of_sample_final_1;4,336710427;19,73618429;0,219733985
AEE;out_of_sample_final_1;7,461729172;17,71790874;0,421140513
TJX;out_of_sample_final_1;7,571607951;28,93418432;0,261683822
SO;out_of_sample_final_1;10,34213077;20,37896455;0,507490493
ITW;out_of_sample_final_1;5,022043956;23,67111192;0,212159191
CSCO;out_of_sample_final_2;2,144825969;23,40405283;0,091643357
MSFT;out_of_sample_final_2;15,21587179;27,57184251;0,551862713
PHM;out_of_sample_final_2;46,98161602;35,24071581;1,333162932
MAR;out_of_sample_final_2;26,45886137;29,05519281;0,910641397
YUM;out_of_sample_final_2;3,258714234;19,03628021;0,171184402
COST;out_of_sample_final_2;27,36309831;24,11680583;1,134607066
HSY;out_of_sample_final_2;2,662618545;19,3168033;0,137839502
K;out_of_sample_final_2;12,92846174;22,07315548;0,585709721
HES;out_of_sample_final_2;33,04157121;35,91352536;0,920031405
BSX;out_of_sample_final_2;26,54430672;22,31982789;1,189270225
CI;out_of_sample_final_2;19,21312122;26,19574368;0,733444389
CVS;out_of_sample_final_2;-8,784796301;27,26124605;-0,322244856
BA;out_of_sample_final_2;-3,844386994;37,26210026;-0,103171506
GE;out_of_sample_final_2;45,10765692;30,22593143;1,492349608
WM;out_of_sample_final_2;13,78198309;18,93825793;0,727732358
ADBE;out_of_sample_final_2;-2,084860366;38,05917234;-0,054779446
AAPL;out_of_sample_final_2;20,22464991;27,28610248;0,741206991
HPQ;out_of_sample_final_2;15,23092914;33,83913419;0,450098074
VMC;out_of_sample_final_2;20,88393307;26,56636824;0,786104178
NEM;out_of_sample_final_2;0,750524294;35,42820131;0,021184375
AEP;out_of_sample_final_2;7,9017591;20,67314324;0,3822234
NEE;out_of_sample_final_2;2,953664254;27,8080119;0,106216304
CMI;out_of_sample_final_2;17,24606948;25,28173177;0,682155385
AFL;out_of_sample_final_2;28,12287;21,44673848;1,311288895
JNJ;out_of_sample_final_2;0,552664323;16,37666834;0,033747055
AIG;out_of_sample_final_2;16,3125542;27,27656395;0,598042856
LLY;out_of_sample_final_2;56,92813031;28,70449471;1,983247951
NOC;out_of_sample_final_2;16,41275628;24,71790987;0,664002595
AES;out_of_sample_final_2;-5,961344811;34,08529798;-0,174894901
BEN;out_of_sample_final_2;-6,000058252;32,85038201;-0,182648051
BAC;out_of_sample_final_2;6,086169812;27,46865223;0,221567835
CL;out_of_sample_final_2;8,475086616;17,1519224;0,494118759
COF;out_of_sample_final_2;7,517954442;34,56362443;0,217510593
MMC;out_of_sample_final_2;13,77926871;19,4287184;0,709221701
DHR;out_of_sample_final_2;-1,302274436;27,34288358;-0,047627546
HAS;out_of_sample_final_2;-6,616804745;32,42916833;-0,204038681
PFE;out_of_sample_final_2;-10,37880005;26,05290703;-0,398373972
MMM;out_of_sample_final_2;-1,053921484;29,06839274;-0,036256614
ED;out_of_sample_final_2;13,12285431;19,06017472;0,688496013
ORCL;out_of_sample_final_2;30,2258536;31,73196712;0,952536396
PNC;out_of_sample_final_2;4,787586314;28,49612748;0,168008313
MU;out_of_sample_final_2;21,97589061;43,99677664;0,499488651
MCO;out_of_sample_final_2;10,67839317;26,38038133;0,404785399
FDX;out_of_sample_final_2;9,153482016;34,1276927;0,268212741
WY;out_of_sample_final_2;-0,924522062;26,42028682;-0,034992885
CINF;out_of_sample_final_2;10,9427225;27,01359851;0,405082
AEE;out_of_sample_final_2;3,510939151;20,3069806;0,172893214
TJX;out_of_sample_final_2;20,52693476;23,94009052;0,857429288
SO;out_of_sample_final_2;14,12998076;19,37003581;0,729476234
ITW;out_of_sample_final_2;8,762392453;21,08959642;0,415484122
